x,y,Result
-1,-1,-6.33333
-1,0,-6
-1,1,-5.66667
-1,2,-5.33333
-1,3,-5
-1,4,-4.66667
-1,5,-4.33333
0,-1,-4.33333
0,0,-4
0,1,-3.66667
0,2,-3.33333
0,3,-3
0,4,-2.66667
0,5,-2.33333
1,-1,-2.33333
1,0,-2
1,1,-1.66667
1,2,-1.33333
1,3,-1
1,4,-0.666667
1,5,-0.333333
2,-1,-0.333333
2,0,0
2,1,0.333333
2,2,0.666667
2,3,1
2,4,1.33333
2,5,1.66667
3,-1,1.66667
3,0,2
3,1,2.33333
3,2,2.66667
3,3,3
3,4,3.33333
3,5,3.66667
4,-1,3.66667
4,0,4
4,1,4.33333
4,2,4.66667
4,3,5
4,4,5.33333
4,5,5.66667
5,-1,5.66667
5,0,6
5,1,6.33333
5,2,6.66667
5,3,7
5,4,7.33333
5,5,7.66667
